,Symbol,Name,Sector
0,MMM,3M,Industrials
1,AOS,A. O. Smith,Industrials
2,ABT,Abbott Laboratories,Health Care
3,ABBV,AbbVie,Health Care
4,ABMD,Abiomed,Health Care
5,ACN,Accenture,Information Technology
6,ATVI,Activision Blizzard,Communication Services
7,ADM,ADM,Consumer Staples
8,ADBE,Adobe,Information Technology
9,AAP,Advance Auto Parts,Consumer Discretionary
10,AMD,Advanced Micro Devices,Information Technology
11,AES,AES Corp,Utilities
12,AFL,Aflac,Financials
13,A,Agilent Technologies,Health Care
14,APD,Air Products & Chemicals,Materials
15,AKAM,Akamai Technologies,Information Technology
16,ALK,Alaska Air Group,Industrials
17,ALB,Albemarle Corporation,Materials
18,ARE,Alexandria Real Estate Equities,Real Estate
19,ALGN,Align Technology,Health Care
20,ALLE,Allegion,Industrials
21,LNT,Alliant Energy,Utilities
22,ALL,Allstate Corp,Financials
23,GOOGL,Alphabet (Class A),Communication Services
24,GOOG,Alphabet (Class C),Communication Services
25,MO,Altria Group,Consumer Staples
26,AMZN,Amazon,Consumer Discretionary
27,AMCR,Amcor,Materials
28,AEE,Ameren Corp,Utilities
29,AAL,American Airlines Group,Industrials
30,AEP,American Electric Power,Utilities
31,AXP,American Express,Financials
32,AIG,American International Group,Financials
33,AMT,American Tower,Real Estate
34,AWK,American Water Works,Utilities
35,AMP,Ameriprise Financial,Financials
36,ABC,AmerisourceBergen,Health Care
37,AME,Ametek,Industrials
38,AMGN,Amgen,Health Care
39,APH,Amphenol Corp,Information Technology
40,ADI,Analog Devices,Information Technology
41,ANSS,Ansys,Information Technology
42,ANTM,Anthem,Health Care
43,AON,Aon,Financials
44,APA,APA Corporation,Energy
45,AAPL,Apple,Information Technology
46,AMAT,Applied Materials,Information Technology
47,APTV,Aptiv,Consumer Discretionary
48,ANET,Arista Networks,Information Technology
49,AJG,Arthur J. Gallagher & Co.,Financials
50,AIZ,Assurant,Financials
51,T,AT&T,Communication Services
52,ATO,Atmos Energy,Utilities
53,ADSK,Autodesk,Information Technology
54,ADP,Automatic Data Processing,Information Technology
55,AZO,AutoZone,Consumer Discretionary
56,AVB,AvalonBay Communities,Real Estate
57,AVY,Avery Dennison,Materials
58,BKR,Baker Hughes,Energy
59,BLL,Ball Corp,Materials
60,BAC,Bank of America,Financials
61,BBWI,Bath & Body Works Inc.,Consumer Discretionary
62,BAX,Baxter International,Health Care
63,BDX,Becton Dickinson,Health Care
64,BRK.B,Berkshire Hathaway,Financials
65,BBY,Best Buy,Consumer Discretionary
66,BIO,Bio-Rad Laboratories,Health Care
67,TECH,Bio-Techne,Health Care
68,BIIB,Biogen,Health Care
69,BLK,BlackRock,Financials
70,BK,BNY Mellon,Financials
71,BA,Boeing Company,Industrials
72,BKNG,Booking Holdings,Consumer Discretionary
73,BWA,BorgWarner,Consumer Discretionary
74,BXP,Boston Properties,Real Estate
75,BSX,Boston Scientific,Health Care
76,BMY,Bristol-Myers Squibb,Health Care
77,AVGO,Broadcom,Information Technology
78,BR,Broadridge Financial Solutions,Information Technology
79,BF.B,Brown–Forman,Consumer Staples
80,CHRW,C. H. Robinson,Industrials
81,COG,Cabot Oil & Gas,Energy
82,CDNS,Cadence Design Systems,Information Technology
83,CZR,Caesars Entertainment,Consumer Discretionary
84,CPB,Campbell Soup,Consumer Staples
85,COF,Capital One Financial,Financials
86,CAH,Cardinal Health,Health Care
87,KMX,CarMax,Consumer Discretionary
88,CCL,Carnival Corporation,Consumer Discretionary
89,CARR,Carrier Global,Industrials
90,CTLT,Catalent,Health Care
91,CAT,Caterpillar,Industrials
92,CBOE,Cboe Global Markets,Financials
93,CBRE,CBRE,Real Estate
94,CDW,CDW,Information Technology
95,CE,Celanese,Materials
96,CNC,Centene Corporation,Health Care
97,CNP,CenterPoint Energy,Utilities
98,CERN,Cerner,Health Care
99,CF,CF Industries,Materials
100,CRL,Charles River Laboratories,Health Care
101,SCHW,Charles Schwab Corporation,Financials
102,CHTR,Charter Communications,Communication Services
103,CVX,Chevron Corporation,Energy
104,CMG,Chipotle Mexican Grill,Consumer Discretionary
105,CB,Chubb,Financials
106,CHD,Church & Dwight,Consumer Staples
107,CI,Cigna,Health Care
108,CINF,Cincinnati Financial,Financials
109,CTAS,Cintas Corporation,Industrials
110,CSCO,Cisco Systems,Information Technology
111,C,Citigroup,Financials
112,CFG,Citizens Financial Group,Financials
113,CTXS,Citrix Systems,Information Technology
114,CLX,Clorox,Consumer Staples
115,CME,CME Group,Financials
116,CMS,CMS Energy,Utilities
117,KO,Coca-Cola Company,Consumer Staples
118,CTSH,Cognizant Technology Solutions,Information Technology
119,CL,Colgate-Palmolive,Consumer Staples
120,CMCSA,Comcast,Communication Services
121,CMA,Comerica,Financials
122,CAG,Conagra Brands,Consumer Staples
123,COP,ConocoPhillips,Energy
124,ED,Consolidated Edison,Utilities
125,STZ,Constellation Brands,Consumer Staples
126,CPRT,Copart,Industrials
127,GLW,Corning,Information Technology
128,CTVA,Corteva,Materials
129,COST,Costco,Consumer Staples
130,CCI,Crown Castle,Real Estate
131,CSX,CSX,Industrials
132,CMI,Cummins,Industrials
133,CVS,CVS Health,Health Care
134,DHI,D. R. Horton,Consumer Discretionary
135,DHR,Danaher Corporation,Health Care
136,DRI,Darden Restaurants,Consumer Discretionary
137,DVA,DaVita,Health Care
138,DE,Deere & Co.,Industrials
139,DAL,Delta Air Lines,Industrials
140,XRAY,Dentsply Sirona,Health Care
141,DVN,Devon Energy,Energy
142,DXCM,DexCom,Health Care
143,FANG,Diamondback Energy,Energy
144,DLR,Digital Realty Trust,Real Estate
145,DFS,Discover Financial Services,Financials
146,DISCA,Discovery (Series A),Communication Services
147,DISCK,Discovery (Series C),Communication Services
148,DISH,Dish Network,Communication Services
149,DG,Dollar General,Consumer Discretionary
150,DLTR,Dollar Tree,Consumer Discretionary
151,D,Dominion Energy,Utilities
152,DPZ,Domino's Pizza,Consumer Discretionary
153,DOV,Dover Corporation,Industrials
154,DOW,Dow,Materials
155,DTE,DTE Energy,Utilities
156,DUK,Duke Energy,Utilities
157,DRE,Duke Realty Corp,Real Estate
158,DD,DuPont,Materials
159,DXC,DXC Technology,Information Technology
160,EMN,Eastman Chemical,Materials
161,ETN,Eaton Corporation,Industrials
162,EBAY,eBay,Consumer Discretionary
163,ECL,Ecolab,Materials
164,EIX,Edison International,Utilities
165,EW,Edwards Lifesciences,Health Care
166,EA,Electronic Arts,Communication Services
167,LLY,Eli Lilly & Co,Health Care
168,EMR,Emerson Electric Company,Industrials
169,ENPH,Enphase Energy,Information Technology
170,ETR,Entergy,Utilities
171,EOG,EOG Resources,Energy
172,EFX,Equifax,Industrials
173,EQIX,Equinix,Real Estate
174,EQR,Equity Residential,Real Estate
175,ESS,Essex Property Trust,Real Estate
176,EL,Estée Lauder Companies,Consumer Staples
177,ETSY,Etsy,Consumer Discretionary
178,RE,Everest Re,Financials
179,EVRG,Evergy,Utilities
180,ES,Eversource Energy,Utilities
181,EXC,Exelon,Utilities
182,EXPE,Expedia Group,Consumer Discretionary
183,EXPD,Expeditors,Industrials
184,EXR,Extra Space Storage,Real Estate
185,XOM,ExxonMobil,Energy
186,FFIV,F5 Networks,Information Technology
187,FB,Facebook,Communication Services
188,FAST,Fastenal,Industrials
189,FRT,Federal Realty Investment Trust,Real Estate
190,FDX,FedEx,Industrials
191,FIS,Fidelity National Information Services,Information Technology
192,FITB,Fifth Third Bancorp,Financials
193,FRC,First Republic Bank,Financials
194,FE,FirstEnergy,Utilities
195,FISV,Fiserv,Information Technology
196,FLT,Fleetcor,Information Technology
197,FMC,FMC Corporation,Materials
198,F,Ford,Consumer Discretionary
199,FTNT,Fortinet,Information Technology
200,FTV,Fortive,Industrials
201,FBHS,Fortune Brands Home & Security,Industrials
202,FOXA,Fox Corporation (Class A),Communication Services
203,FOX,Fox Corporation (Class B),Communication Services
204,BEN,Franklin Resources,Financials
205,FCX,Freeport-McMoRan,Materials
206,GPS,Gap,Consumer Discretionary
207,GRMN,Garmin,Consumer Discretionary
208,IT,Gartner,Information Technology
209,GNRC,Generac Holdings,Industrials
210,GD,General Dynamics,Industrials
211,GE,General Electric,Industrials
212,GIS,General Mills,Consumer Staples
213,GM,General Motors,Consumer Discretionary
214,GPC,Genuine Parts,Consumer Discretionary
215,GILD,Gilead Sciences,Health Care
216,GPN,Global Payments,Information Technology
217,GL,Globe Life,Financials
218,GS,Goldman Sachs,Financials
219,HAL,Halliburton,Energy
220,HBI,Hanesbrands,Consumer Discretionary
221,HAS,Hasbro,Consumer Discretionary
222,HCA,HCA Healthcare,Health Care
223,PEAK,Healthpeak Properties,Real Estate
224,HSIC,Henry Schein,Health Care
225,HES,Hess Corporation,Energy
226,HPE,Hewlett Packard Enterprise,Information Technology
227,HLT,Hilton Worldwide,Consumer Discretionary
228,HOLX,Hologic,Health Care
229,HD,Home Depot,Consumer Discretionary
230,HON,Honeywell,Industrials
231,HRL,Hormel,Consumer Staples
232,HST,Host Hotels & Resorts,Real Estate
233,HWM,Howmet Aerospace,Industrials
234,HPQ,HP,Information Technology
235,HUM,Humana,Health Care
236,HBAN,Huntington Bancshares,Financials
237,HII,Huntington Ingalls Industries,Industrials
238,IBM,IBM,Information Technology
239,IEX,IDEX Corporation,Industrials
240,IDXX,Idexx Laboratories,Health Care
241,INFO,IHS Markit,Industrials
242,ITW,Illinois Tool Works,Industrials
243,ILMN,Illumina,Health Care
244,INCY,Incyte,Health Care
245,IR,Ingersoll Rand,Industrials
246,INTC,Intel,Information Technology
247,ICE,Intercontinental Exchange,Financials
248,IFF,International Flavors & Fragrances,Materials
249,IP,International Paper,Materials
250,IPG,Interpublic Group,Communication Services
251,INTU,Intuit,Information Technology
252,ISRG,Intuitive Surgical,Health Care
253,IVZ,Invesco,Financials
254,IPGP,IPG Photonics,Information Technology
255,IQV,IQVIA,Health Care
256,IRM,Iron Mountain,Real Estate
257,JBHT,J. B. Hunt,Industrials
258,JKHY,Jack Henry & Associates,Information Technology
259,J,Jacobs Engineering Group,Industrials
260,SJM,JM Smucker,Consumer Staples
261,JNJ,Johnson & Johnson,Health Care
262,JCI,Johnson Controls,Industrials
263,JPM,JPMorgan Chase,Financials
264,JNPR,Juniper Networks,Information Technology
265,KSU,Kansas City Southern,Industrials
266,K,Kellogg's,Consumer Staples
267,KEY,KeyCorp,Financials
268,KEYS,Keysight Technologies,Information Technology
269,KMB,Kimberly-Clark,Consumer Staples
270,KIM,Kimco Realty,Real Estate
271,KMI,Kinder Morgan,Energy
272,KLAC,KLA Corporation,Information Technology
273,KHC,Kraft Heinz,Consumer Staples
274,KR,Kroger,Consumer Staples
275,LHX,L3Harris Technologies,Industrials
276,LH,LabCorp,Health Care
277,LRCX,Lam Research,Information Technology
278,LW,Lamb Weston,Consumer Staples
279,LVS,Las Vegas Sands,Consumer Discretionary
280,LEG,Leggett & Platt,Consumer Discretionary
281,LDOS,Leidos,Industrials
282,LEN,Lennar,Consumer Discretionary
283,LNC,Lincoln National,Financials
284,LIN,Linde,Materials
285,LYV,Live Nation Entertainment,Communication Services
286,LKQ,LKQ Corporation,Consumer Discretionary
287,LMT,Lockheed Martin,Industrials
288,L,Loews Corporation,Financials
